jax-FedAvg-run | INFO flwr 2023-12-02 10:21:50,377 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
jax-FedAvg-run | DEBUG flwr 2023-12-02 10:33:44,262 | server.py:187 | evaluate_round 3 received 8 results and 0 failures
jax-FedAvg-run | DEBUG flwr 2023-12-02 10:33:44,263 | server.py:222 | fit_round 4: strategy sampled 8 clients (out of 8)
jax-FedAvg-run | DEBUG flwr 2023-12-02 10:34:47,478 | server.py:236 | fit_round 4 received 8 results and 0 failures
jax-FedAvg-run | INFO flwr 2023-12-02 10:35:10,083 | server.py:125 | fit progress: (4, 1.1663473844528198, {'accuracy': 0.44777777791023254}, 776.927103079)
jax-FedAvg-run | DEBUG flwr 2023-12-02 10:35:10,088 | server.py:173 | evaluate_round 4: strategy sampled 8 clients (out of 8)
jax-FedAvg-run | DEBUG flwr 2023-12-02 10:36:23,627 | server.py:187 | evaluate_round 4 received 8 results and 0 failures
jax-FedAvg-run | DEBUG flwr 2023-12-02 10:36:23,627 | server.py:222 | fit_round 5: strategy sampled 8 clients (out of 8)
jax-FedAvg-run | DEBUG flwr 2023-12-02 10:37:25,935 | server.py:236 | fit_round 5 received 8 results and 0 failures
jax-FedAvg-run | INFO flwr 2023-12-02 10:37:48,478 | server.py:125 | fit progress: (5, 0.9570147395133972, {'accuracy': 0.4956018626689911}, 935.3222516929999)
jax-FedAvg-run | DEBUG flwr 2023-12-02 10:37:48,478 | server.py:173 | evaluate_round 5: strategy sampled 8 clients (out of 8)
jax-FedAvg-run | DEBUG flwr 2023-12-02 10:39:04,026 | server.py:187 | evaluate_round 5 received 8 results and 0 failures
jax-FedAvg-run | DEBUG flwr 2023-12-02 10:39:04,027 | server.py:222 | fit_round 6: strategy sampled 8 clients (out of 8)
jax-FedAvg-run | DEBUG flwr 2023-12-02 10:40:21,205 | server.py:236 | fit_round 6 received 8 results and 0 failures
jax-FedAvg-run | INFO flwr 2023-12-02 10:41:02,618 | server.py:125 | fit progress: (6, 0.8124170899391174, {'accuracy': 0.5351190567016602}, 1129.462376506)
jax-FedAvg-run | DEBUG flwr 2023-12-02 10:41:02,618 | server.py:173 | evaluate_round 6: strategy sampled 8 clients (out of 8)
jax-FedAvg-run | DEBUG flwr 2023-12-02 10:42:16,402 | server.py:187 | evaluate_round 6 received 8 results and 0 failures
jax-FedAvg-run | DEBUG flwr 2023-12-02 10:42:16,403 | server.py:222 | fit_round 7: strategy sampled 8 clients (out of 8)
jax-FedAvg-run | DEBUG flwr 2023-12-02 10:43:18,998 | server.py:236 | fit_round 7 received 8 results and 0 failures
jax-FedAvg-run | INFO flwr 2023-12-02 10:44:00,408 | server.py:125 | fit progress: (7, 0.7092954516410828, {'accuracy': 0.5668402910232544}, 1307.2520129440002)
jax-FedAvg-run | DEBUG flwr 2023-12-02 10:44:00,408 | server.py:173 | evaluate_round 7: strategy sampled 8 clients (out of 8)
jax-FedAvg-run | DEBUG flwr 2023-12-02 10:45:15,222 | server.py:187 | evaluate_round 7 received 8 results and 0 failures
jax-FedAvg-run | DEBUG flwr 2023-12-02 10:45:15,222 | server.py:222 | fit_round 8: strategy sampled 8 clients (out of 8)
jax-FedAvg-run | DEBUG flwr 2023-12-02 10:46:18,707 | server.py:236 | fit_round 8 received 8 results and 0 failures
jax-FedAvg-run | INFO flwr 2023-12-02 10:47:00,106 | server.py:125 | fit progress: (8, 0.650903046131134, {'accuracy': 0.5929012298583984}, 1486.950792564)
jax-FedAvg-run | DEBUG flwr 2023-12-02 10:47:00,107 | server.py:173 | evaluate_round 8: strategy sampled 8 clients (out of 8)
jax-FedAvg-run | DEBUG flwr 2023-12-02 10:48:14,424 | server.py:187 | evaluate_round 8 received 8 results and 0 failures
jax-FedAvg-run | DEBUG flwr 2023-12-02 10:48:14,424 | server.py:222 | fit_round 9: strategy sampled 8 clients (out of 8)
jax-FedAvg-run | DEBUG flwr 2023-12-02 10:49:31,915 | server.py:236 | fit_round 9 received 8 results and 0 failures
jax-FedAvg-run | INFO flwr 2023-12-02 10:49:54,503 | server.py:125 | fit progress: (9, 0.6104536652565002, {'accuracy': 0.6152777671813965}, 1661.347494007)
jax-FedAvg-run | DEBUG flwr 2023-12-02 10:49:54,503 | server.py:173 | evaluate_round 9: strategy sampled 8 clients (out of 8)
jax-FedAvg-run | DEBUG flwr 2023-12-02 10:51:09,300 | server.py:187 | evaluate_round 9 received 8 results and 0 failures
jax-FedAvg-run | DEBUG flwr 2023-12-02 10:51:09,300 | server.py:222 | fit_round 10: strategy sampled 8 clients (out of 8)
jax-FedAvg-run | DEBUG flwr 2023-12-02 10:52:12,880 | server.py:236 | fit_round 10 received 8 results and 0 failures
jax-FedAvg-run | INFO flwr 2023-12-02 10:52:35,506 | server.py:125 | fit progress: (10, 0.5921550989151001, {'accuracy': 0.6344696879386902}, 1822.350496946)
jax-FedAvg-run | DEBUG flwr 2023-12-02 10:52:35,506 | server.py:173 | evaluate_round 10: strategy sampled 8 clients (out of 8)
jax-FedAvg-run | DEBUG flwr 2023-12-02 10:53:58,774 | server.py:187 | evaluate_round 10 received 8 results and 0 failures
jax-FedAvg-run | INFO flwr 2023-12-02 10:53:58,774 | server.py:153 | FL finished in 1905.6181431230002
jax-FedAvg-run | INFO flwr 2023-12-02 10:53:58,784 | app.py:225 | app_fit: losses_distributed [(1, 2.1854119300842285), (2, 1.8505135774612427), (3, 1.4647762775421143), (4, 1.1663473844528198), (5, 0.9570147395133972), (6, 0.8124170899391174), (7, 0.7092953324317932), (8, 0.6509029865264893), (9, 0.6104534864425659), (10, 0.5921550989151001)]
jax-FedAvg-run | INFO flwr 2023-12-02 10:53:58,784 | app.py:226 | app_fit: metrics_distributed_fit {}
jax-FedAvg-run | INFO flwr 2023-12-02 10:53:58,797 | app.py:227 | app_fit: metrics_distributed {}
jax-FedAvg-run | INFO flwr 2023-12-02 10:53:58,797 | app.py:228 | app_fit: losses_centralized [(0, 2.341738224029541), (1, 2.1854119300842285), (2, 1.8505135774612427), (3, 1.4647762775421143), (4, 1.1663473844528198), (5, 0.9570147395133972), (6, 0.8124170899391174), (7, 0.7092954516410828), (8, 0.650903046131134), (9, 0.6104536652565002), (10, 0.5921550989151001)]
jax-FedAvg-run | INFO flwr 2023-12-02 10:53:58,810 | app.py:229 | app_fit: metrics_centralized {'accuracy': [(0, 0.03611111268401146), (1, 0.22847221791744232), (2, 0.31203705072402954), (3, 0.3791666626930237), (4, 0.44777777791023254), (5, 0.4956018626689911), (6, 0.5351190567016602), (7, 0.5668402910232544), (8, 0.5929012298583984), (9, 0.6152777671813965), (10, 0.6344696879386902)]}
